编号,名称,助记词,邮编,病人来源
0,港、澳、台@,gat,-,港、澳、台
433130236,湖南省湘西土家族苗族自治州龙山县咱果乡@,gdsgzshzq,416800,外省（直辖市）
440104000,广东省广州市越秀区@,gdsgzsthqspjd,510030,医院所在区（县）
440104001,广东省广州市越秀区洪桥街道@,gdsgzsthqsdjd,510045,医院所在区（县）
440104003,广东省广州市越秀区北京街道@,gdsgzsthqthnjd,510030,医院所在区（县）
440104004,广东省广州市越秀区六榕街道@,gdsgzsthqlhjd,510180,医院所在区（县）
440104005,广东省广州市越秀区流花街道@,gdsgzsthqxhjd,510091,医院所在区（县）
440104007,广东省广州市越秀区光塔街道@,gdsgzsthqtxjd,510115,医院所在区（县）
440104010,广东省广州市越秀区人民街道@,gdsgzsthqtyjd,510120,医院所在区（县）
440104011,广东省广州市越秀区东山街道@,gdsgzsthqldjd,510080,医院所在区（县）
440104012,广东省广州市越秀区农林街道@,gdsgzsthqxcjd,510062,医院所在区（县）
440104013,广东省广州市越秀区梅花村街道@,gdsgzsthqygjd,510062,医院所在区（县）
440104014,广东省广州市越秀区黄花岗街道@,gdsgzsthqhcjd,510095,医院所在区（县）
440104015,广东省广州市越秀区华乐街道@,gdsgzsthqfhjd,510095,医院所在区（县）
440104017,广东省广州市越秀区大塘街道@,gdsgzsthqldjd,510055,医院所在区（县）
440104018,广东省广州市越秀区珠光街道@,gdsgzsthqzxjd,510110,医院所在区（县）
440104019,广东省广州市越秀区大东街道@,gdsgzsthqqjjd,510080,医院所在区（县）
440104020,广东省广州市越秀区白云街道@,gdsgzsthqzjjd,510199,医院所在区（县）
440104021,广东省广州市越秀区登峰街道@,gdsgzsthqxtjd,510091,医院所在区（县）
440104022,广东省广州市越秀区矿泉街道@,gdsgzsbyq,510010,医院所在区（县）
440104024,广东省广州市越秀区建设街道@,gdsgzsbyqsyljd,510199,医院所在区（县）
440103000,广东省广州市荔湾区@,gdsgzshzqcgjd,510145,医院所在市的外区（县）
440103001,广东省广州市荔湾区沙面街道@,gdsgzshzqxgjd,510130,医院所在市的外区（县）
440103002,广东省广州市荔湾区岭南街道@,gdsgzshzqcgjd,510130,医院所在市的外区（县）
440103003,广东省广州市荔湾区华林街道@,gdsgzshzqjnzjd,510140,医院所在市的外区（县）
440103004,广东省广州市荔湾区多宝街道@,gdsgzshzqbjjd,510140,医院所在市的外区（县）
440103005,广东省广州市荔湾区昌华街道@,gdsgzshzqssjd,510140,医院所在市的外区（县）
440103006,广东省广州市荔湾区逢源街道@,gdsgzshzqhcjd,510140,医院所在市的外区（县）
440103007,广东省广州市荔湾区龙津街道@,gdsgzshzqnhxjd,510145,医院所在市的外区（县）
440103008,广东省广州市荔湾区金花街道@,gdsgzshzqlfjd,510170,医院所在市的外区（县）
440103009,广东省广州市荔湾区彩虹街道@,gdsgzshzqsyjd,510176,医院所在市的外区（县）
440103010,广东省广州市荔湾区南源街道@,gdsgzshzqnstjd,510160,医院所在市的外区（县）
440103011,广东省广州市荔湾区西村街道@,gdsgzshzqfyjd,510160,医院所在市的外区（县）
440103012,广东省广州市荔湾区站前街道@,gdsgzshzqrbjd,510010,医院所在市的外区（县）
440103013,广东省广州市荔湾区桥中街道@,gdsgzshzqjhjd,510150,医院所在市的外区（县）
440103014,广东省广州市荔湾区白鹤洞街道@,gdsgzshzqpzjd,510380,医院所在市的外区（县）
440103015,广东省广州市荔湾区冲口街道@,gdsgzshzqnzjd,510370,医院所在市的外区（县）
440103016,广东省广州市荔湾区花地街道@,gdsgzshzqhzjd,510370,医院所在市的外区（县）
440103017,广东省广州市荔湾区石围塘街道@,gdsgzshzqgzjd,510360,医院所在市的外区（县）
440103018,广东省广州市荔湾区茶滘街道@,gdsgzsthq,510375,医院所在市的外区（县）
440103019,广东省广州市荔湾区东漖街道@,gdsgzsthqwsjd,510375,医院所在市的外区（县）
440103020,广东省广州市荔湾区海龙街道@,gdsgzsthqycjd,510378,医院所在市的外区（县）
440103021,广东省广州市荔湾区东沙街道@,gdsgzsthqcpjd,510385,医院所在市的外区（县）
440103022,广东省广州市荔湾区中南街道@,gdsgzsthqshjd,510388,医院所在市的外区（县）
440105000,广东省广州市海珠区@,gdsgzsbyqszjd,510220,医院所在市的外区（县）
440105001,广东省广州市海珠区赤岗街道@,gdsgzsbyqjtjd,510277,医院所在市的外区（县）
440105002,广东省广州市海珠区新港街道@,gdsgzsbyqtdjd,510275,医院所在市的外区（县）
440105003,广东省广州市海珠区昌岗街道@,gdsgzsbyqhsjd,510220,医院所在市的外区（县）
440105004,广东省广州市海珠区江南中街道@,gdsgzsbyqtjjd,510277,医院所在市的外区（县）
440105005,广东省广州市海珠区滨江街道@,gdsgzsbyqxsjd,510230,医院所在市的外区（县）
440105006,广东省广州市海珠区素社街道@,gdsgzsbyqthjd,510220,医院所在市的外区（县）
440105007,广东省广州市海珠区海幢街道@,gdsgzsbyqjxjd,510235,医院所在市的外区（县）
440105008,广东省广州市海珠区南华西街道@,gdsgzsbyqypjd,510277,医院所在市的外区（县）
